commit	composite	pass_rate	avg_semantic	avg_rebus	status	description
ab380f2	67.8	0.286	8.3	7.2	keep	baseline_march17_rebuilt
5aff410	70.1	0.314	8.2	7.0	keep	march17/exp001
5aff410	65.9	0.271	8.3	7.0	discard	march17/exp002
5aff410	69.1	0.314	8.1	6.7	discard	march17/exp003
5aff410	68.6	0.314	8.0	6.7	discard	march17/exp004
5aff410	68.4	0.300	8.2	6.9	discard	march17/exp005
5aff410	73.0	0.343	8.2	7.0	keep	march17/exp006
5aff410	66.7	0.286	8.1	6.9	discard	march17/exp007
5aff410	67.2	0.286	8.3	6.9	discard	march17/exp008
5aff410	64.3	0.271	7.9	6.8	discard	march17/exp009
5aff410	67.2	0.300	7.9	6.7	discard	march17/exp010
5aff410	63.3	0.271	7.6	6.6	discard	march17/exp011
5aff410	68.2	0.300	8.2	6.9	discard	march17/exp012
5aff410	76.8	0.400	7.8	6.7	keep	march17/exp013
5aff410	67.5	0.300	8.0	6.7	discard	march17/exp014
5aff410	74.0	0.357	8.1	7.1	discard	march17/exp015
5aff410	64.7	0.271	8.0	6.8	discard	march17/exp016
5aff410	70.7	0.314	8.3	7.2	discard	march17/exp017
5aff410	69.6	0.314	8.0	7.0	discard	march17/exp018
5aff410	73.1	0.343	8.2	7.1	discard	march17/exp019
5aff410	72.6	0.343	8.2	6.9	discard	march17/exp020
5aff410	66.5	0.286	8.1	6.9	discard	march17/exp021
5aff410	69.9	0.300	8.5	7.2	discard	march17/exp022
5aff410	66.8	0.286	8.2	6.9	discard	march17/exp023
5aff410	69.9	0.314	8.2	7.0	discard	march17/exp024
5aff410	70.4	0.314	8.3	7.0	discard	march17/exp025
5aff410	67.6	0.300	8.1	6.7	discard	march17/exp026
5aff410	61.6	0.243	7.9	6.8	discard	march17/exp027
5aff410	64.7	0.286	7.7	6.5	discard	march17/exp028
5aff410	65.9	0.271	8.3	7.0	discard	march17/exp029
5aff410	74.8	0.371	7.9	7.0	discard	march17/exp030
5aff410	64.9	0.286	7.7	6.6	discard	march17/exp031
5aff410	68.4	0.300	8.1	7.0	discard	march17/exp032
5aff410	67.3	0.300	8.0	6.7	discard	march17/exp033
5aff410	69.4	0.329	7.7	6.7	discard	march17/exp034
5aff410	65.6	0.286	7.9	6.7	discard	march17/exp035
5aff410	68.1	0.286	8.4	7.1	discard	march17/exp036
5aff410	71.0	0.314	8.4	7.2	discard	march17/exp037
5aff410	74.1	0.343	8.5	7.2	discard	march17/exp038
5aff410	66.0	0.271	8.2	7.1	discard	march17/exp039
5aff410	67.6	0.286	8.3	7.1	discard	march17/exp040
5aff410	70.4	0.314	8.4	6.9	discard	march17/exp041
